ΤΚ,Περιοχή,Ζώνη,"Συνολική κατανάλωση","Ημέρες κατανάλωσης","Μέση ημερήσια κατανάλωση","Πλήθος παροχών","Μήνας κατανάλωσης"
0,"ΑΓ. ΑΝΑΡΓΥΡΟΙ","Κλάση A",3,62,0.05,2,01/2025
0,"ΑΓ. ΑΝΑΡΓΥΡΟΙ","Κλάση Β",41,155,0.26,5,01/2025
0,"ΑΓ. ΑΝΝΑ","Κλάση A",0,93,0.00,3,01/2025
0,"ΑΓ. ΑΝΤΩΝΙΟΣ","Κλάση Β",26,124,0.21,4,01/2025
0,"ΑΓ. ΠΑΡΑΣΚΕΥΗ","Κλάση A",5,62,0.09,3,01/2025
0,"ΑΙΑΝΤΕΙΟ ΚΑΚΗ ΒΙΓΛΑ","Κλάση A",0,62,0.00,2,01/2025
0,ΑΛΙΜΟΣ,"Κλάση Β",25,124,0.21,4,01/2025
0,ΑΛΙΜΟΣ,"Κλάση Δ",101,62,1.62,2,01/2025
0,ΑΣΤΥΝΟΜΙΚΑ,"Κλάση Β",19,62,0.30,2,01/2025
0,ΔΙΚΗΓΟΡΙΚΑ,"Κλάση Β",27,93,0.30,3,01/2025
0,ΕΙΡΗΝΗ,"Κλάση A",0,62,0.00,2,01/2025
0,ΚΑΛΛΙΠΟΛΗ,"Κλάση Β",28,93,0.30,3,01/2025
0,ΚΕΡΑΜΙΔΙΩΤΗ,"Κλάση Γ",37,62,0.59,2,01/2025
0,"ΚΟΡΜΠΙ ΠΡ. ΗΛΙΑΣ","Κλάση A",2,62,0.03,2,01/2025
0,ΛΕΥΚΑ,"Κλάση Β",16,62,0.26,2,01/2025
0,ΛΥΚΟΤΡΥΠΑ,"Κλάση Β",30,62,0.48,2,01/2025
0,ΜΕΛΙΣΣΙΑ,"Κλάση Γ",57,62,0.92,2,01/2025
0,ΜΕΤΑΜΟΡΦΩΣΗ,"Κλάση A",9,310,0.03,10,01/2025
0,ΜΕΤΑΜΟΡΦΩΣΗ,"Κλάση Β",237,868,0.27,28,01/2025
0,ΜΕΤΑΜΟΡΦΩΣΗ,"Κλάση Γ",112,186,0.60,6,01/2025
0,"ΝΕΑ ΠΕΝΤΕΛΗ","Κλάση A",2,62,0.03,2,01/2025
0,"ΝΕΑ ΠΕΝΤΕΛΗ","Κλάση Β",18,93,0.20,3,01/2025
0,"ΟΣΙΑ ΞΕΝΗ","Κλάση A",1,62,0.01,2,01/2025
0,ΠΑΝΟΡΑΜΑ,"Κλάση Β",9,62,0.15,2,01/2025
0,ΠΕΡΙΣΤΕΡΙ,"Κλάση A",4,62,0.07,3,01/2025
0,ΠΕΡΙΣΤΕΡΙ,"Κλάση Β",26,176,0.15,7,01/2025
0,"ΠΡΟΦ. ΗΛΙΑΣ","Κλάση A",2,186,0.01,6,01/2025
0,"ΠΡΟΦ. ΗΛΙΑΣ","Κλάση Β",35,93,0.38,3,01/2025
