ΤΚ,Περιοχή,Ζώνη,"Συνολική κατανάλωση","Ημέρες κατανάλωσης","Μέση ημερήσια κατανάλωση","Πλήθος παροχών","Μήνας κατανάλωσης"
10431,ΚΕΝΤΡΟ,"Κλάση A",48,3498,0.01,241,01/2024
10431,ΚΕΝΤΡΟ,"Κλάση Β",293,1163,0.25,113,01/2024
10431,ΚΕΝΤΡΟ,"Κλάση Γ",346,486,0.71,53,01/2024
10431,ΚΕΝΤΡΟ,"Κλάση Δ","1,541",597,2.58,33,01/2024
10431,ΚΕΝΤΡΟ,"Κλάση Ε","3,057",195,15.68,8,01/2024
10432,ΚΕΝΤΡΟ,"Κλάση A",179,8830,0.02,292,01/2024
10432,ΚΕΝΤΡΟ,"Κλάση Β",738,3218,0.23,104,01/2024
10432,ΚΕΝΤΡΟ,"Κλάση Γ",599,862,0.69,28,01/2024
10432,ΚΕΝΤΡΟ,"Κλάση Δ","2,336",961,2.43,31,01/2024
10432,ΚΕΝΤΡΟ,"Κλάση Ε",887,62,14.31,2,01/2024
10432,ΜΟΥΣΕΙΟ,"Κλάση A",49,2666,0.02,86,01/2024
10432,ΜΟΥΣΕΙΟ,"Κλάση Β",220,1054,0.21,34,01/2024
10432,ΜΟΥΣΕΙΟ,"Κλάση Γ",76,124,0.61,4,01/2024
10432,ΜΟΥΣΕΙΟ,"Κλάση Δ",74,62,1.19,2,01/2024
10432,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση A",72,3588,0.02,123,01/2024
10432,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Β",476,1855,0.26,60,01/2024
10432,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Γ",300,465,0.64,15,01/2024
10432,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Δ",292,186,1.57,6,01/2024
10433,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση A",40,1333,0.03,43,01/2024
10433,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση Β",196,899,0.22,29,01/2024
10433,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση Γ",60,62,0.97,2,01/2024
10433,ΜΟΥΣΕΙΟ,"Κλάση A",109,5766,0.02,186,01/2024
10433,ΜΟΥΣΕΙΟ,"Κλάση Β",749,3379,0.22,109,01/2024
10433,ΜΟΥΣΕΙΟ,"Κλάση Γ",265,403,0.66,13,01/2024
10433,ΜΟΥΣΕΙΟ,"Κλάση Δ",253,186,1.36,6,01/2024
10433,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση A",655,26950,0.02,870,01/2024
10433,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Β","4,784",20602,0.23,665,01/2024
10433,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Γ","1,950",3009,0.65,98,01/2024
10433,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Δ","1,268",651,1.95,21,01/2024
10433,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Ε",853,124,6.88,4,01/2024
10433,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση A",582,24486,0.02,794,01/2024
10433,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Β","4,795",19953,0.24,644,01/2024
10433,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Γ","1,640",2573,0.64,83,01/2024
10433,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Δ","1,342",669,2.01,23,01/2024
